,0,1,lemmas
0,2.5649493574615367,2.70805020110221,perceive
1,2.2512917986064953,2.4849066497880004,assume
2,2.4849066497880004,2.3513752571634776,suspect
3,1.8718021769015913,3.0910424533583156,conclude
4,1.3862943611198906,-0.0,confess
5,1.1826954058786512,1.7578579175523736,make sure
6,1.9459101490553135,2.0794415416798357,be excited
7,1.9810014688665833,2.772588722239781,realize
8,3.0910424533583156,2.9444389791664407,inform
9,3.632309102625542,5.351858133476067,keep
10,1.6863989535702288,3.367295829986474,indicate
11,2.890371757896165,2.70805020110221,learn
12,2.4423470353692043,2.2512917986064953,be aware
13,2.0281482472922856,2.1972245773362196,notice
14,3.2188758248682006,3.6109179126442243,estimate
15,3.58351893845611,3.951243718581427,write
16,3.5263605246161616,2.833213344056216,request
17,4.2626798770413155,4.235179466073586,have
18,2.1400661634962708,2.4849066497880004,be pleased
19,1.3862943611198906,1.791759469228055,exclaim
20,2.639057329615259,3.1780538303479458,be proud
21,1.960835799271989,2.1400661634962708,believe
22,1.0986122886681098,2.0794415416798357,pray
23,3.4965075614664802,3.4965075614664802,maintain
24,1.0608719606852628,2.3025850929940455,be glad
25,3.3141860046725258,3.044522437723423,report
26,1.9459101490553135,2.1400661634962708,demand
27,3.068052935133617,2.8622008809294686,forget
28,3.4011973816621555,2.4849066497880004,discover
29,3.044522437723423,1.9252908618525775,note
30,2.833213344056216,2.2512917986064953,guarantee
31,4.110873864173311,3.9318256327243257,accept
32,4.461588457510067,5.195730777772936,show
33,5.133274245554355,4.992980358857535,be
34,3.5263605246161616,3.5263605246161616,charge
35,3.1780538303479458,3.624340932976365,require
36,5.111987788356543,4.919980925828125,be now
37,3.120895416507997,4.248495242049359,decide
38,2.4849066497880004,2.70805020110221,acknowledge
39,0.916290731874155,1.9459101490553135,verify
40,1.5119395479492226,1.5117994428701844,say
41,1.8870696490323797,1.9459101490553135,claim
42,2.0701391490175225,2.152200895962264,think
43,2.382627800667582,2.12525107771113,be sure
44,2.0825616690160795,2.2413743619491493,tell
45,3.1354942159291497,3.1780538303479458,point
46,1.7346010553881064,2.70805020110221,ensure
47,5.32544603393629,4.700480365792417,make
48,2.4849066497880004,3.4339872044851463,observe
49,1.9095425048844386,3.295836866004329,confirm
50,4.553876891600541,3.3232358401924436,read
51,2.995732273553991,2.833213344056216,remind
52,0.40546510810816444,-0.0,. glad
53,2.3025850929940455,2.1972245773362196,admit
54,2.0794415416798357,1.9459101490553135,assert
55,2.1972245773362196,2.5649493574615367,specify
56,2.9396428069029477,2.9069010598473755,ask
57,0.6931471805599453,1.791759469228055,instruct
58,0.6931471805599453,2.3978952727983707,signal
59,2.890371757896165,2.6741486494265287,recognize
60,1.845826690498331,2.0541237336955462,imagine
61,2.5538995212749516,2.849700718165237,know
62,4.310799125385514,4.412798293340635,seem
63,1.0986122886681098,1.791759469228055,remark
64,2.6426223957797546,2.7586024802650413,see
65,3.258096538021482,3.258096538021482,be true
66,2.772588722239781,1.7346010553881064,state
67,3.0910424533583156,3.1354942159291497,argue
68,3.592735593561034,3.717628867399922,feel
69,3.332204510175204,3.784189633918261,order
70,2.4849066497880004,2.3025850929940455,. sorry
71,1.252762968495368,1.791759469228055,doubt
72,1.791759469228055,2.0794415416798357,realise
73,3.4339872044851463,2.3025850929940455,demonstrate
74,4.955827057601261,5.0875963352323845,list
75,3.8501476017100584,3.891820298110627,establish
76,2.256065077359153,1.978345424808467,remember
77,3.8501476017100584,3.2188758248682006,sound
78,1.252762968495368,1.252762968495368,insist
79,3.8501476017100584,3.5742165457937967,love
80,2.0395956331326364,2.1799827709017134,hear
81,3.295836866004329,3.871201010907891,mention
82,4.584967478670572,3.592735593561034,consider
83,3.5742165457937967,2.772588722239781,recommend
84,2.70805020110221,3.0910424533583156,advise
85,3.332204510175204,3.4965075614664802,determine
86,3.5336865647082343,3.2700441114426,find
87,1.3217558399823195,1.086636097621394,hope
88,2.740840023925201,3.164067588373206,explain
89,2.505525936990736,2.6026896854443837,suppose
90,3.951243718581427,3.2188758248682006,propose
91,5.019484909373238,5.058366696917446,give
92,4.77912349311153,3.619886582626985,turn
93,2.455053686638319,2.528391761727739,mean
94,2.4423470353692043,2.9444389791664407,reveal
95,2.3025850929940455,1.791759469228055,allege
96,4.007333185232471,2.772588722239781,agree
97,2.639057329615259,1.2992829841302609,comment
98,2.3978952727983707,2.097141118779237,suggest
99,2.2512917986064953,2.4423470353692043,understand
